O*NET-SOC Code,Title,Task ID,Task,Task Type,task_exposure,n_dwas,channel,importance,relevance,weight,baseline_exposure,narrow_flag,narrow_exposure,broad_flag,broad_exposure,matched_rule_ids,matched_text,text_flag,combined_flag,text_exposure,combined_exposure
11-1011.00,Chief Executives,8849,Attend and participate in meetings of municipal councils or council committees.,Core,0.55,1,MGMT,3.59,69.01,2.477459,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1011.00,Chief Executives,8850,Organize or approve promotional campaigns.,Core,0.45,1,MGMT,3.55,82.46,2.9273299999999995,0.45,False,0.45,False,0.45,,,False,False,0.45,0.45
11-1011.00,Chief Executives,8842,Nominate citizens to boards or commissions.,Supplemental,0.6,1,MGMT,4.07,27.05,1.100935,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
11-1011.00,Chief Executives,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",Supplemental,0.425,2,INFO,3.98,56.65,2.25467,0.425,False,0.425,False,0.425,,,False,False,0.425,0.425
11-1011.00,Chief Executives,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,0.7,1,MGMT,3.9,27.31,1.06509,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1011.00,Chief Executives,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",Supplemental,0.85,1,INFO,3.88,52.57,2.039716,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-1011.00,Chief Executives,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,0.55,1,MGMT,3.81,47.82,1.821942,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1011.00,Chief Executives,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Supplemental,0.775,2,ANLY,3.81,62.05,2.364105,0.7749999999999999,False,0.7749999999999999,False,0.7749999999999999,,,False,False,0.7749999999999999,0.7749999999999999
11-1011.00,Chief Executives,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,0.5,2,MGMT,3.78,56.74,2.144772,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1011.00,Chief Executives,8845,Refer major policy matters to elected representatives for final decisions.,Supplemental,0.7,1,SOCL,3.7,57.44,2.12528,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1011.00,Chief Executives,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,Supplemental,0.875,2,INFO,3.66,58.3,2.13378,0.875,False,0.875,False,0.875,,,False,False,0.875,0.875
11-1011.00,Chief Executives,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Supplemental,0.25,1,MGMT,3.51,58.06,2.037906,0.25,False,0.25,False,0.25,,,False,False,0.25,0.25
11-1011.00,Chief Executives,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",Supplemental,0.6,2,MGMT,3.42,63.86,2.184012,0.6000000000000001,False,0.6000000000000001,False,0.6000000000000001,,,False,False,0.6000000000000001,0.6000000000000001
11-1011.03,Chief Sustainability Officers,15382,Monitor and evaluate effectiveness of sustainability programs.,Core,0.75,1,ANLY,4.38,96.3,4.21794,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
11-1011.03,Chief Sustainability Officers,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,0.65,2,CRTV,4.37,100.0,4.37,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1011.03,Chief Sustainability Officers,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,0.65,2,CRTV,4.33,100.0,4.33,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1011.03,Chief Sustainability Officers,15372,Supervise employees or volunteers working on sustainability projects.,Core,0.35,1,MGMT,4.22,100.0,4.22,0.35,False,0.35,False,0.35,,,False,False,0.35,0.35
11-1011.03,Chief Sustainability Officers,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,0.8,2,INFO,4.04,100.0,4.04,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
11-1011.03,Chief Sustainability Officers,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,0.625,2,CRTV,3.93,100.0,3.93,0.625,False,0.625,False,0.625,,,False,False,0.625,0.625
11-1011.03,Chief Sustainability Officers,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,0.75,2,ANLY,3.88,96.3,3.73644,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
11-1011.03,Chief Sustainability Officers,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",Core,0.9,2,INFO,3.85,100.0,3.85,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
11-1011.03,Chief Sustainability Officers,15375,Formulate or implement sustainability campaign or marketing strategies.,Core,0.8,1,CRTV,3.74,100.0,3.74,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
11-1011.03,Chief Sustainability Officers,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",Core,0.65,1,INFO,3.74,100.0,3.74,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1011.03,Chief Sustainability Officers,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,0.5,1,MGMT,3.65,85.19,3.1094349999999995,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1011.03,Chief Sustainability Officers,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,0.775,2,ANLY,3.52,92.59,3.2591680000000003,0.775,False,0.775,False,0.775,,,False,False,0.775,0.775
11-1011.03,Chief Sustainability Officers,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,Core,0.8,1,TECH,3.52,100.0,3.52,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
11-1011.03,Chief Sustainability Officers,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,0.6,1,ANLY,3.48,92.59,3.222132,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
11-1011.03,Chief Sustainability Officers,15373,Write and distribute financial or environmental impact reports.,Core,0.95,1,INFO,3.33,88.89,2.960037,0.95,False,0.95,False,0.95,,,False,False,0.95,0.95
11-1011.03,Chief Sustainability Officers,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,0.9,1,INFO,3.33,100.0,3.33,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
11-1011.03,Chief Sustainability Officers,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,0.4,2,MGMT,3.19,100.0,3.19,0.4,False,0.4,False,0.4,,,False,False,0.4,0.4
11-1011.03,Chief Sustainability Officers,15369,Conduct risk assessments related to sustainability and the environment.,Core,0.85,2,ANLY,3.13,85.19,2.666447,0.8500000000000001,False,0.8500000000000001,False,0.8500000000000001,,,False,False,0.8500000000000001,0.8500000000000001
11-1021.00,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,0.875,2,ANLY,4.18,97.14,4.060452,0.875,False,0.875,False,0.875,,,False,False,0.875,0.875
11-1021.00,General and Operations Managers,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,0.5,2,MGMT,4.14,79.9,3.30786,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1021.00,General and Operations Managers,20700,Direct administrative activities directly related to making products or providing services.,Core,0.5,1,MGMT,4.01,85.81,3.440981,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1021.00,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,Core,0.65,1,MGMT,3.98,86.29,3.4343420000000004,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1021.00,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,0.7,1,MGMT,3.9,82.52,3.2182799999999996,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1021.00,General and Operations Managers,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",Core,0.65,2,CRTV,3.83,71.86,2.7522379999999997,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1021.00,General and Operations Managers,20705,"Perform personnel functions, such as selection, training, or evaluation.",Core,0.575,2,MGMT,3.79,95.77,3.629683,0.575,False,0.575,False,0.575,,,False,False,0.575,0.575
11-1021.00,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,0.6667,3,MGMT,3.74,88.62,3.314388,0.6666666666666666,False,0.6666666666666666,False,0.6666666666666666,,,False,False,0.6666666666666666,0.6666666666666666
11-1021.00,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,0.45,1,SOCL,3.44,75.67,2.603048,0.45,False,0.45,False,0.45,,,False,False,0.45,0.45
11-1021.00,General and Operations Managers,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,0.5,1,MGMT,4.03,46.73,1.883219,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1021.00,General and Operations Managers,20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",Supplemental,0.75,1,MGMT,4.01,49.24,1.974524,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
11-1021.00,General and Operations Managers,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,0.65,1,SOCL,3.87,59.07,2.286009,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1021.00,General and Operations Managers,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,0.675,2,CRTV,3.57,51.98,1.8556859999999995,0.675,False,0.675,False,0.675,,,False,False,0.675,0.675
11-1021.00,General and Operations Managers,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,0.5,2,MGMT,3.53,51.13,1.804889,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1021.00,General and Operations Managers,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,0.525,2,MGMT,3.1,56.52,1.75212,0.525,False,0.525,False,0.525,,,False,False,0.525,0.525
11-1021.00,General and Operations Managers,949,Plan store layouts or design displays.,Supplemental,0.7,1,CRTV,2.92,51.62,1.507304,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1021.00,General and Operations Managers,948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",Supplemental,0.5667,3,ANLY,2.79,49.78,1.388862,0.5666666666666667,False,0.5666666666666667,False,0.5666666666666667,,,False,False,0.5666666666666667,0.5666666666666667
11-1031.00,Legislators,15267,Analyze and understand the local and national implications of proposed legislation.,,0.85,1,ANLY,3.0,75.0,2.25,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-1031.00,Legislators,15268,"Appoint nominees to leadership posts, or approve such appointments.",,0.6,1,MGMT,3.0,75.0,2.25,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
11-1031.00,Legislators,15269,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,,0.55,1,SOCL,3.0,75.0,2.25,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1031.00,Legislators,15270,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",,0.55,1,INFO,3.0,75.0,2.25,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1031.00,Legislators,15271,Develop expertise in subject matters related to committee assignments.,,0.85,1,INFO,3.0,75.0,2.25,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-1031.00,Legislators,15272,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",,0.65,2,INFO,3.0,75.0,2.25,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1031.00,Legislators,15273,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",,0.85,1,INFO,3.0,75.0,2.25,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-1031.00,Legislators,15274,Maintain knowledge of relevant national and international current events.,,0.85,1,INFO,3.0,75.0,2.25,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-1031.00,Legislators,15275,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",,0.675,4,MGMT,3.0,75.0,2.25,0.675,False,0.675,False,0.675,,,False,False,0.675,0.675
11-1031.00,Legislators,15276,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",,0.55,1,MGMT,3.0,75.0,2.25,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1031.00,Legislators,15277,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",,0.85,1,INFO,3.0,75.0,2.25,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-1031.00,Legislators,15278,Read and review concerns of constituents or the general public and determine if governmental action is necessary.,,0.75,1,SOCL,3.0,75.0,2.25,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
11-1031.00,Legislators,15279,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",,0.55,1,MGMT,3.0,75.0,2.25,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1031.00,Legislators,15280,"Review bills in committee, and make recommendations about their future.",,0.7,1,SOCL,3.0,75.0,2.25,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1031.00,Legislators,15281,Seek federal funding for local projects and programs.,,0.9,1,INFO,3.0,75.0,2.25,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
11-1031.00,Legislators,15282,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",,0.55,1,MGMT,3.0,75.0,2.25,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1031.00,Legislators,15283,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",,0.4,1,MGMT,3.0,75.0,2.25,0.4,False,0.4,False,0.4,,,False,False,0.4,0.4
11-1031.00,Legislators,15284,"Write, prepare, and deliver statements for the Congressional Record.",,0.7,1,SOCL,3.0,75.0,2.25,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1031.00,Legislators,15285,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",,0.7,1,SOCL,3.0,75.0,2.25,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1031.00,Legislators,15286,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",,0.25,1,SOCL,3.0,75.0,2.25,0.25,False,0.25,False,0.25,,,False,False,0.25,0.25
11-1031.00,Legislators,15287,"Conduct ""head counts"" to help predict the outcome of upcoming votes.",,0.95,1,INFO,3.0,75.0,2.25,0.95,False,0.95,False,0.95,,,False,False,0.95,0.95
11-1031.00,Legislators,15288,"Determine campaign strategies for media advertising, positions on issues, and public appearances.",,0.8,1,CRTV,3.0,75.0,2.25,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
11-1031.00,Legislators,15289,Encourage and support party candidates for political office.,,0.3,1,SOCL,3.0,75.0,2.25,0.3,False,0.3,False,0.3,,,False,False,0.3,0.3
11-1031.00,Legislators,15290,"Establish personal offices in local districts or states, and manage office staff.",,0.35,1,MGMT,3.0,75.0,2.25,0.35,False,0.35,False,0.35,,,False,False,0.35,0.35
11-1031.00,Legislators,15291,"Evaluate the structure, efficiency, activities, and performance of government agencies.",,0.75,1,ANLY,3.0,75.0,2.25,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
11-1031.00,Legislators,15292,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",,0.45,1,MGMT,3.0,75.0,2.25,0.45,False,0.45,False,0.45,,,False,False,0.45,0.45
11-1031.00,Legislators,15293,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",,0.6,1,MGMT,3.0,75.0,2.25,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
11-1031.00,Legislators,15294,Promote the industries and products of their electoral districts.,,0.65,1,SOCL,3.0,75.0,2.25,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1031.00,Legislators,15295,"Represent their government at local, national, and international meetings and conferences.",,0.55,1,MGMT,3.0,75.0,2.25,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1031.00,Legislators,15296,Speak to students to encourage and support the development of future political leaders.,,0.3,1,SOCL,3.0,75.0,2.25,0.3,False,0.3,False,0.3,,,False,False,0.3,0.3
11-2011.00,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,0.9,1,CRTV,4.13,96.37,3.980081,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,0.85,1,ANLY,4.07,87.26,3.5514820000000005,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-2011.00,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,0.55,1,SOCL,3.9,97.19,3.79041,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Core,0.55,1,MGMT,3.87,80.19,3.1033530000000003,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-2011.00,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Core,0.5667,3,MGMT,3.84,78.64,3.019776,0.5666666666666667,False,0.5666666666666667,False,0.5666666666666667,,,False,False,0.5666666666666667,0.5666666666666667
11-2011.00,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,Core,0.675,2,CRTV,3.81,78.17,2.978277,0.675,False,0.675,False,0.675,,,False,False,0.675,0.675
11-2011.00,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,0.45,2,MGMT,3.81,83.59,3.184779,0.45,False,0.45,False,0.45,,,False,False,0.45,0.45
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,0.7,1,MGMT,3.67,81.73,2.999491,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Core,0.65,1,SOCL,3.61,79.02,2.8526219999999993,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,0.85,1,ANLY,3.59,77.04,2.765736,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-2011.00,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,0.25,1,SOCL,3.55,78.24,2.7775199999999995,0.25,False,0.25,False,0.25,,,False,False,0.25,0.25
11-2011.00,Advertising and Promotions Managers,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",Core,0.7,1,MGMT,3.54,69.28,2.452512,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,0.85,1,INFO,3.25,86.55,2.8128749999999996,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-2011.00,Advertising and Promotions Managers,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",Supplemental,0.425,2,MGMT,3.89,41.07,1.597623,0.425,False,0.425,False,0.425,,,False,False,0.425,0.425
11-2011.00,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,Supplemental,0.725,2,INFO,3.81,63.17,2.406777,0.725,False,0.725,False,0.725,,,False,False,0.725,0.725
11-2011.00,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Supplemental,0.8,1,CRTV,3.68,58.64,2.1579520000000003,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
11-2011.00,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,Supplemental,0.55,1,SOCL,3.62,61.21,2.215802,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-2011.00,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",Supplemental,0.25,1,SOCL,3.61,62.26,2.2475859999999996,0.25,False,0.25,False,0.25,handling,Assemble,True,True,0.0,0.0
11-2011.00,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Supplemental,0.65,1,SOCL,3.5,63.96,2.2386,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,Supplemental,0.55,1,MGMT,3.43,65.01,2.229843,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-2011.00,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,Supplemental,0.5,2,MGMT,3.35,40.08,1.34268,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-2011.00,Advertising and Promotions Managers,21217,Analyze marketing or sales trends to forecast future conditions.,,0.85,1,ANLY,3.0,75.0,2.25,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-2011.00,Advertising and Promotions Managers,21218,Analyze the effectiveness of marketing tactics or channels.,,0.9,1,ANLY,3.0,75.0,2.25,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
11-2011.00,Advertising and Promotions Managers,21219,"Attend or participate in conferences, community events, and promotional events related to products or technologies.",,0.85,1,INFO,3.0,75.0,2.25,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-2011.00,Advertising and Promotions Managers,21220,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",,0.825,2,ANLY,3.0,75.0,2.25,0.825,False,0.825,False,0.825,,,False,False,0.825,0.825
11-2011.00,Advertising and Promotions Managers,21221,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",,0.55,1,SOCL,3.0,75.0,2.25,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-2011.00,Advertising and Promotions Managers,21222,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",,0.9,1,CRTV,3.0,75.0,2.25,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
11-2011.00,Advertising and Promotions Managers,21223,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.",,0.8,1,CRTV,3.0,75.0,2.25,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
11-2011.00,Advertising and Promotions Managers,21224,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",,0.775,2,ANLY,3.0,75.0,2.25,0.775,False,0.775,False,0.775,,,False,False,0.775,0.775
