iwa_id,exposure,channel
4.A.2.a.4.e,0.80,ANLY
4.A.2.a.4.f,0.85,ANLY
4.A.2.a.4.g,0.85,ANLY
4.A.2.a.4.h,0.90,ANLY
4.A.2.a.4.i,0.85,ANLY
4.A.2.a.4.j,0.70,ANLY
4.A.2.a.4.k,0.90,ANLY
4.A.2.a.4.l,0.75,ANLY
4.A.2.b.1.a,0.80,ANLY
4.A.2.b.1.b,0.55,PHYS
4.A.2.b.1.c,0.60,MGMT
4.A.2.b.1.d,0.70,ANLY
4.A.2.b.1.e,0.45,MGMT
4.A.2.b.1.f,0.50,CARE
4.A.2.b.1.g,0.95,INFO
4.A.2.b.1.h,0.75,ANLY
4.A.2.b.1.i,0.55,MGMT
4.A.2.b.1.j,0.65,ANLY
4.A.2.b.1.k,0.90,CRTV
4.A.2.b.2.a,0.60,CARE
4.A.2.b.2.b,0.85,TECH
4.A.2.b.2.c,0.80,CRTV
4.A.2.b.2.d,0.70,CRTV
4.A.2.b.2.e,0.75,CRTV
4.A.2.b.2.f,0.90,TECH
4.A.2.b.2.g,0.70,CRTV
4.A.2.b.2.h,0.80,CRTV
4.A.2.b.2.i,0.70,CRTV
4.A.2.b.2.j,0.90,CRTV
4.A.2.b.2.k,0.65,CRTV
4.A.2.b.2.l,0.75,CRTV
4.A.2.b.2.m,0.65,CRTV
4.A.2.b.2.n,0.65,CRTV
4.A.2.b.2.o,0.75,CRTV
4.A.2.b.2.p,0.75,CRTV
4.A.2.b.2.q,0.75,CRTV
4.A.2.b.2.r,0.80,CRTV
4.A.2.b.2.s,0.80,CRTV
4.A.2.b.2.t,0.45,CRTV
4.A.2.b.2.u,0.75,ANLY
4.A.2.b.2.v,0.70,MGMT
4.A.2.b.3.a,0.85,INFO
4.A.2.b.4.a,0.75,MGMT
4.A.2.b.4.b,0.85,INFO
4.A.2.b.5.a,0.90,INFO
4.A.2.b.5.b,0.85,INFO
4.A.2.b.5.c,0.95,INFO
4.A.2.b.6.a,0.70,MGMT
4.A.2.b.6.b,0.75,MGMT
4.A.3.a.1.a,0.10,PHYS
4.A.3.a.1.b,0.05,PHYS
4.A.3.a.1.c,0.05,PHYS
4.A.3.a.1.d,0.05,PHYS
4.A.3.a.1.e,0.05,PHYS
4.A.3.a.1.f,0.05,PHYS
4.A.3.a.1.g,0.05,PHYS
4.A.3.a.1.h,0.05,PHYS
4.A.3.a.1.i,0.05,PHYS
4.A.3.a.1.j,0.05,PHYS
4.A.3.a.1.k,0.15,PHYS
4.A.3.a.1.l,0.05,PHYS
4.A.3.a.1.m,0.05,CARE
4.A.3.a.1.n,0.00,PHYS
4.A.3.a.1.o,0.05,PHYS
4.A.3.a.1.p,0.00,PHYS
4.A.3.a.1.q,0.05,PHYS
4.A.3.a.2.a,0.05,PHYS
4.A.3.a.2.aa,0.05,PHYS
4.A.3.a.2.ab,0.05,PHYS
4.A.3.a.2.ac,0.05,PHYS
4.A.3.a.2.ad,0.05,PHYS
4.A.3.a.2.ae,0.05,PHYS
4.A.3.a.2.af,0.05,PHYS
4.A.3.a.2.ag,0.05,PHYS
4.A.3.a.2.ah,0.05,PHYS
4.A.3.a.2.ai,0.05,PHYS
4.A.3.a.2.aj,0.05,PHYS
4.A.3.a.2.ak,0.05,PHYS
4.A.3.a.2.al,0.10,PHYS
4.A.3.a.2.am,0.05,PHYS
4.A.3.a.2.an,0.05,PHYS
4.A.3.a.2.ao,0.05,PHYS
4.A.3.a.2.ap,0.05,PHYS
4.A.3.a.2.aq,0.05,PHYS
4.A.3.a.2.ar,0.00,PHYS
4.A.3.a.2.as,0.05,PHYS
4.A.3.a.2.at,0.05,PHYS
4.A.3.a.2.au,0.10,PHYS
4.A.3.a.2.b,0.10,PHYS
4.A.3.a.2.c,0.05,PHYS
4.A.3.a.2.d,0.05,PHYS
4.A.3.a.2.e,0.05,PHYS
4.A.3.a.2.f,0.05,PHYS
4.A.3.a.2.g,0.05,PHYS
4.A.3.a.2.h,0.10,PHYS
4.A.3.a.2.i,0.15,PHYS
4.A.3.a.2.j,0.05,PHYS
4.A.3.a.2.k,0.05,PHYS
4.A.3.a.2.l,0.05,PHYS
4.A.3.a.2.m,0.05,PHYS
4.A.3.a.2.n,0.05,PHYS
4.A.3.a.2.o,0.05,PHYS
4.A.3.a.2.p,0.05,PHYS
4.A.3.a.2.q,0.10,PHYS
4.A.3.a.2.r,0.10,PHYS
4.A.3.a.2.s,0.05,PHYS
4.A.3.a.2.t,0.05,PHYS
4.A.3.a.2.u,0.05,CARE
4.A.3.a.2.v,0.05,PHYS
4.A.3.a.2.w,0.05,PHYS
4.A.3.a.2.x,0.10,PHYS
4.A.3.a.2.y,0.05,PHYS
4.A.3.a.2.z,0.00,PHYS
4.A.3.a.3.a,0.40,MACH
4.A.3.a.3.b,0.20,MACH
4.A.3.a.3.c,0.10,MACH
4.A.3.a.3.d,0.15,MACH
4.A.3.a.3.e,0.35,MACH
4.A.3.a.3.f,0.15,MACH
4.A.3.a.3.g,0.20,MACH
4.A.3.a.3.h,0.05,MACH
4.A.3.a.3.i,0.20,MACH
4.A.3.a.3.j,0.40,MACH
4.A.3.a.3.k,0.10,MACH
4.A.3.a.3.l,0.05,MACH
4.A.3.a.4.a,0.15,MACH
4.A.3.b.1.a,0.95,TECH
4.A.3.b.1.b,0.80,TECH
4.A.3.b.1.c,0.70,TECH
4.A.3.b.1.d,0.80,TECH
4.A.3.b.1.e,0.75,TECH
4.A.3.b.1.f,0.95,TECH
4.A.3.b.2.a,0.85,TECH
4.A.3.b.2.b,0.70,CRTV
4.A.3.b.2.c,0.70,CRTV
4.A.3.b.2.d,0.85,TECH
4.A.3.b.2.e,0.75,CRTV
4.A.3.b.2.f,0.80,TECH
4.A.3.b.4.a,0.10,PHYS
4.A.3.b.4.b,0.05,PHYS
4.A.3.b.4.c,0.05,PHYS
4.A.3.b.4.d,0.05,PHYS
4.A.3.b.4.e,0.05,PHYS
4.A.3.b.4.f,0.10,PHYS
4.A.3.b.5.a,0.10,PHYS
4.A.3.b.5.b,0.10,PHYS
4.A.3.b.5.c,0.15,PHYS
4.A.3.b.6.a,0.95,INFO
4.A.3.b.6.b,0.90,INFO
4.A.3.b.6.c,0.65,SOCL
4.A.3.b.6.d,0.85,INFO
4.A.3.b.6.e,0.25,PHYS
4.A.3.b.6.f,0.90,INFO
4.A.3.b.6.g,0.90,INFO
4.A.3.b.6.h,0.90,INFO
4.A.3.b.6.i,0.90,INFO
4.A.3.b.6.j,0.90,INFO
4.A.3.b.6.k,0.90,INFO
4.A.3.b.6.l,0.90,INFO
4.A.3.b.6.m,0.90,INFO
4.A.3.b.6.n,0.90,INFO
4.A.3.b.6.o,0.90,INFO
4.A.3.b.6.p,0.90,CRTV
4.A.4.a.1.a,0.75,SOCL
4.A.4.a.1.b,0.80,SOCL
4.A.4.a.1.c,0.80,SOCL
4.A.4.a.1.d,0.80,SOCL
4.A.4.a.1.e,0.55,CARE
4.A.4.a.2.a,0.60,SOCL
4.A.4.a.2.b,0.70,SOCL
4.A.4.a.2.c,0.55,SOCL
4.A.4.a.2.d,0.45,CARE
4.A.4.a.2.e,0.55,SOCL
4.A.4.a.2.f,0.55,SOCL
4.A.4.a.2.g,0.60,SOCL
4.A.4.a.2.h,0.60,SOCL
4.A.4.a.2.i,0.50,SOCL
4.A.4.a.2.j,0.55,SOCL
4.A.4.a.3.a,0.30,SOCL
4.A.4.a.3.b,0.70,SOCL
4.A.4.a.3.c,0.65,SOCL
4.A.4.a.4.a,0.25,SOCL
4.A.4.a.5.a,0.55,SOCL
4.A.4.a.5.b,0.10,CARE
4.A.4.a.5.c,0.05,CARE
4.A.4.a.5.d,0.05,CARE
4.A.4.a.5.e,0.15,CARE
4.A.4.a.5.f,0.10,CARE
4.A.4.a.5.g,0.05,CARE
4.A.4.a.5.h,0.80,INFO
4.A.4.a.5.i,0.15,CARE
4.A.4.a.5.j,0.30,SOCL
4.A.4.a.5.k,0.05,CARE
4.A.4.a.5.l,0.10,CARE
4.A.4.a.6.a,0.50,SOCL
4.A.4.a.6.b,0.45,SOCL
4.A.4.a.6.c,0.65,SOCL
4.A.4.a.7.a,0.35,SOCL
4.A.4.a.7.b,0.50,SOCL
4.A.4.a.7.c,0.50,MGMT
4.A.4.a.8.a,0.15,CRTV
4.A.4.a.8.b,0.20,SOCL
4.A.4.a.8.c,0.75,SOCL
4.A.4.b.1.a,0.55,MGMT
4.A.4.b.1.b,0.15,PHYS
4.A.4.b.1.c,0.55,MGMT
4.A.4.b.1.d,0.45,MGMT
4.A.4.b.1.e,0.45,MGMT
4.A.4.b.1.f,0.65,MGMT
4.A.4.b.1.g,0.65,MGMT
4.A.4.b.2.a,0.30,SOCL
4.A.4.b.3.a,0.40,SOCL
4.A.4.b.3.b,0.55,SOCL
4.A.4.b.3.c,0.55,SOCL
4.A.4.b.3.d,0.55,SOCL
4.A.4.b.3.e,0.45,SOCL
4.A.4.b.3.f,0.50,SOCL
4.A.4.b.4.a,0.35,MGMT
4.A.4.b.4.b,0.40,MGMT
4.A.4.b.4.c,0.35,MGMT
4.A.4.b.4.d,0.15,MGMT
4.A.4.b.4.e,0.55,MGMT
4.A.4.b.4.f,0.55,MGMT
4.A.4.b.4.g,0.55,MGMT
4.A.4.b.4.h,0.70,MGMT
4.A.4.b.4.i,0.25,MGMT
4.A.4.b.4.j,0.50,MGMT
4.A.4.b.4.k,0.30,MGMT
4.A.4.b.4.l,0.55,MGMT
4.A.4.b.5.a,0.35,SOCL
4.A.4.b.6.a,0.50,CARE
4.A.4.b.6.b,0.65,SOCL
4.A.4.b.6.c,0.70,SOCL
4.A.4.b.6.d,0.75,SOCL
4.A.4.b.6.e,0.70,SOCL
4.A.4.b.6.f,0.55,CARE
4.A.4.b.6.g,0.60,SOCL
4.A.4.b.6.h,0.70,SOCL
4.A.4.b.6.i,0.60,SOCL
4.A.4.b.6.j,0.30,SOCL
4.A.4.b.6.k,0.70,SOCL
4.A.4.c.1.a,0.90,INFO
4.A.4.c.1.b,0.80,INFO
4.A.4.c.1.c,0.85,INFO
4.A.4.c.1.d,0.85,INFO
4.A.4.c.1.e,0.20,PHYS
4.A.4.c.1.f,0.35,PHYS
4.A.4.c.2.a,0.60,MGMT
4.A.4.c.2.b,0.70,MGMT
4.A.4.c.3.a,0.35,PHYS
4.A.4.c.3.b,0.60,CARE
4.A.4.c.3.c,0.15,PHYS
4.A.4.c.3.d,0.55,INFO
4.A.4.c.3.e,0.70,INFO
4.A.4.c.3.f,0.50,CARE
4.A.4.c.3.g,0.75,INFO
